text,drug,effect,indexes
"A 27-year-old man who had a history of bronchial asthma, eosinophilic enteritis, and eosinophilic pneumonia presented with fever, skin eruptions, cervical lymphadenopathy, hepatosplenomegaly, atypical lymphocytosis, and eosinophilia two weeks after receiving trimethoprim (TMP)-sulfamethoxazole (SMX) treatment.",trimethoprim,atypical lymphocytosis,"{'drug': {'start_char': [259], 'end_char': [271]}, 'effect': {'start_char': [192], 'end_char': [214]}}"
"A 27-year-old man who had a history of bronchial asthma, eosinophilic enteritis, and eosinophilic pneumonia presented with fever, skin eruptions, cervical lymphadenopathy, hepatosplenomegaly, atypical lymphocytosis, and eosinophilia two weeks after receiving trimethoprim (TMP)-sulfamethoxazole (SMX) treatment.",SMX,cervical lymphadenopathy,"{'drug': {'start_char': [296], 'end_char': [299]}, 'effect': {'start_char': [146], 'end_char': [170]}}"
"A 27-year-old man who had a history of bronchial asthma, eosinophilic enteritis, and eosinophilic pneumonia presented with fever, skin eruptions, cervical lymphadenopathy, hepatosplenomegaly, atypical lymphocytosis, and eosinophilia two weeks after receiving trimethoprim (TMP)-sulfamethoxazole (SMX) treatment.",sulfamethoxazole,cervical lymphadenopathy,"{'drug': {'start_char': [278], 'end_char': [294]}, 'effect': {'start_char': [146], 'end_char': [170]}}"
"A 27-year-old man who had a history of bronchial asthma, eosinophilic enteritis, and eosinophilic pneumonia presented with fever, skin eruptions, cervical lymphadenopathy, hepatosplenomegaly, atypical lymphocytosis, and eosinophilia two weeks after receiving trimethoprim (TMP)-sulfamethoxazole (SMX) treatment.",TMP,cervical lymphadenopathy,"{'drug': {'start_char': [273], 'end_char': [276]}, 'effect': {'start_char': [146], 'end_char': [170]}}"
"A 27-year-old man who had a history of bronchial asthma, eosinophilic enteritis, and eosinophilic pneumonia presented with fever, skin eruptions, cervical lymphadenopathy, hepatosplenomegaly, atypical lymphocytosis, and eosinophilia two weeks after receiving trimethoprim (TMP)-sulfamethoxazole (SMX) treatment.",trimethoprim,cervical lymphadenopathy,"{'drug': {'start_char': [259], 'end_char': [271]}, 'effect': {'start_char': [146], 'end_char': [170]}}"
"A 27-year-old man who had a history of bronchial asthma, eosinophilic enteritis, and eosinophilic pneumonia presented with fever, skin eruptions, cervical lymphadenopathy, hepatosplenomegaly, atypical lymphocytosis, and eosinophilia two weeks after receiving trimethoprim (TMP)-sulfamethoxazole (SMX) treatment.",SMX,eosinophilia,"{'drug': {'start_char': [296], 'end_char': [299]}, 'effect': {'start_char': [220], 'end_char': [232]}}"
"A 27-year-old man who had a history of bronchial asthma, eosinophilic enteritis, and eosinophilic pneumonia presented with fever, skin eruptions, cervical lymphadenopathy, hepatosplenomegaly, atypical lymphocytosis, and eosinophilia two weeks after receiving trimethoprim (TMP)-sulfamethoxazole (SMX) treatment.",sulfamethoxazole,eosinophilia,"{'drug': {'start_char': [278], 'end_char': [294]}, 'effect': {'start_char': [220], 'end_char': [232]}}"
"A 27-year-old man who had a history of bronchial asthma, eosinophilic enteritis, and eosinophilic pneumonia presented with fever, skin eruptions, cervical lymphadenopathy, hepatosplenomegaly, atypical lymphocytosis, and eosinophilia two weeks after receiving trimethoprim (TMP)-sulfamethoxazole (SMX) treatment.",TMP,eosinophilia,"{'drug': {'start_char': [273], 'end_char': [276]}, 'effect': {'start_char': [220], 'end_char': [232]}}"
"A 27-year-old man who had a history of bronchial asthma, eosinophilic enteritis, and eosinophilic pneumonia presented with fever, skin eruptions, cervical lymphadenopathy, hepatosplenomegaly, atypical lymphocytosis, and eosinophilia two weeks after receiving trimethoprim (TMP)-sulfamethoxazole (SMX) treatment.",trimethoprim,eosinophilia,"{'drug': {'start_char': [259], 'end_char': [271]}, 'effect': {'start_char': [220], 'end_char': [232]}}"
"A 27-year-old man who had a history of bronchial asthma, eosinophilic enteritis, and eosinophilic pneumonia presented with fever, skin eruptions, cervical lymphadenopathy, hepatosplenomegaly, atypical lymphocytosis, and eosinophilia two weeks after receiving trimethoprim (TMP)-sulfamethoxazole (SMX) treatment.",SMX,fever,"{'drug': {'start_char': [296], 'end_char': [299]}, 'effect': {'start_char': [123], 'end_char': [128]}}"
"A 27-year-old man who had a history of bronchial asthma, eosinophilic enteritis, and eosinophilic pneumonia presented with fever, skin eruptions, cervical lymphadenopathy, hepatosplenomegaly, atypical lymphocytosis, and eosinophilia two weeks after receiving trimethoprim (TMP)-sulfamethoxazole (SMX) treatment.",sulfamethoxazole,fever,"{'drug': {'start_char': [278], 'end_char': [294]}, 'effect': {'start_char': [123], 'end_char': [128]}}"
"A 27-year-old man who had a history of bronchial asthma, eosinophilic enteritis, and eosinophilic pneumonia presented with fever, skin eruptions, cervical lymphadenopathy, hepatosplenomegaly, atypical lymphocytosis, and eosinophilia two weeks after receiving trimethoprim (TMP)-sulfamethoxazole (SMX) treatment.",TMP,fever,"{'drug': {'start_char': [273], 'end_char': [276]}, 'effect': {'start_char': [123], 'end_char': [128]}}"
"A 27-year-old man who had a history of bronchial asthma, eosinophilic enteritis, and eosinophilic pneumonia presented with fever, skin eruptions, cervical lymphadenopathy, hepatosplenomegaly, atypical lymphocytosis, and eosinophilia two weeks after receiving trimethoprim (TMP)-sulfamethoxazole (SMX) treatment.",trimethoprim,fever,"{'drug': {'start_char': [259], 'end_char': [271]}, 'effect': {'start_char': [123], 'end_char': [128]}}"
"A 27-year-old man who had a history of bronchial asthma, eosinophilic enteritis, and eosinophilic pneumonia presented with fever, skin eruptions, cervical lymphadenopathy, hepatosplenomegaly, atypical lymphocytosis, and eosinophilia two weeks after receiving trimethoprim (TMP)-sulfamethoxazole (SMX) treatment.",SMX,hepatosplenomegaly,"{'drug': {'start_char': [296], 'end_char': [299]}, 'effect': {'start_char': [172], 'end_char': [190]}}"
"A 27-year-old man who had a history of bronchial asthma, eosinophilic enteritis, and eosinophilic pneumonia presented with fever, skin eruptions, cervical lymphadenopathy, hepatosplenomegaly, atypical lymphocytosis, and eosinophilia two weeks after receiving trimethoprim (TMP)-sulfamethoxazole (SMX) treatment.",sulfamethoxazole,hepatosplenomegaly,"{'drug': {'start_char': [278], 'end_char': [294]}, 'effect': {'start_char': [172], 'end_char': [190]}}"
"A 27-year-old man who had a history of bronchial asthma, eosinophilic enteritis, and eosinophilic pneumonia presented with fever, skin eruptions, cervical lymphadenopathy, hepatosplenomegaly, atypical lymphocytosis, and eosinophilia two weeks after receiving trimethoprim (TMP)-sulfamethoxazole (SMX) treatment.",TMP,hepatosplenomegaly,"{'drug': {'start_char': [273], 'end_char': [276]}, 'effect': {'start_char': [172], 'end_char': [190]}}"
"A 27-year-old man who had a history of bronchial asthma, eosinophilic enteritis, and eosinophilic pneumonia presented with fever, skin eruptions, cervical lymphadenopathy, hepatosplenomegaly, atypical lymphocytosis, and eosinophilia two weeks after receiving trimethoprim (TMP)-sulfamethoxazole (SMX) treatment.",trimethoprim,hepatosplenomegaly,"{'drug': {'start_char': [259], 'end_char': [271]}, 'effect': {'start_char': [172], 'end_char': [190]}}"
"A 27-year-old man who had a history of bronchial asthma, eosinophilic enteritis, and eosinophilic pneumonia presented with fever, skin eruptions, cervical lymphadenopathy, hepatosplenomegaly, atypical lymphocytosis, and eosinophilia two weeks after receiving trimethoprim (TMP)-sulfamethoxazole (SMX) treatment.",SMX,skin eruptions,"{'drug': {'start_char': [296], 'end_char': [299]}, 'effect': {'start_char': [130], 'end_char': [144]}}"
"A 27-year-old man who had a history of bronchial asthma, eosinophilic enteritis, and eosinophilic pneumonia presented with fever, skin eruptions, cervical lymphadenopathy, hepatosplenomegaly, atypical lymphocytosis, and eosinophilia two weeks after receiving trimethoprim (TMP)-sulfamethoxazole (SMX) treatment.",sulfamethoxazole,skin eruptions,"{'drug': {'start_char': [278], 'end_char': [294]}, 'effect': {'start_char': [130], 'end_char': [144]}}"
"A 27-year-old man who had a history of bronchial asthma, eosinophilic enteritis, and eosinophilic pneumonia presented with fever, skin eruptions, cervical lymphadenopathy, hepatosplenomegaly, atypical lymphocytosis, and eosinophilia two weeks after receiving trimethoprim (TMP)-sulfamethoxazole (SMX) treatment.",TMP,skin eruptions,"{'drug': {'start_char': [273], 'end_char': [276]}, 'effect': {'start_char': [130], 'end_char': [144]}}"
"A 27-year-old man who had a history of bronchial asthma, eosinophilic enteritis, and eosinophilic pneumonia presented with fever, skin eruptions, cervical lymphadenopathy, hepatosplenomegaly, atypical lymphocytosis, and eosinophilia two weeks after receiving trimethoprim (TMP)-sulfamethoxazole (SMX) treatment.",trimethoprim,skin eruptions,"{'drug': {'start_char': [259], 'end_char': [271]}, 'effect': {'start_char': [130], 'end_char': [144]}}"
This is the first case of TMP-SMX-induced hypersensitivity syndrome associated with the reactivation of a latent viral infection.,TMP-SMX,hypersensitivity syndrome,"{'drug': {'start_char': [26], 'end_char': [33]}, 'effect': {'start_char': [42], 'end_char': [67]}}"
Trimethoprim-sulfamethoxazole-induced hypersensitivity syndrome associated with reactivation of human herpesvirus-6.,Trimethoprim-sulfamethoxazole,hypersensitivity syndrome,"{'drug': {'start_char': [0], 'end_char': [29]}, 'effect': {'start_char': [38], 'end_char': [63]}}"
PURPOSE: To report a case of severe corticosteroid-induced glaucoma after intravitreal injection of triamcinolone acetate in a 34-year-old man without a history of glaucoma.,corticosteroid,glaucoma,"{'drug': {'start_char': [36], 'end_char': [50]}, 'effect': {'start_char': [59, 164], 'end_char': [67, 172]}}"
PURPOSE: To report a case of severe corticosteroid-induced glaucoma after intravitreal injection of triamcinolone acetate in a 34-year-old man without a history of glaucoma.,triamcinolone acetate,glaucoma,"{'drug': {'start_char': [100], 'end_char': [121]}, 'effect': {'start_char': [59, 164], 'end_char': [67, 172]}}"
RESULTS: A 34-year-old man acquired visual field defects and severe vision loss in both eyes after intravitreal injection of triamcinolone for diabetic macular edema.,triamcinolone,severe vision loss,"{'drug': {'start_char': [125], 'end_char': [138]}, 'effect': {'start_char': [61], 'end_char': [79]}}"
RESULTS: A 34-year-old man acquired visual field defects and severe vision loss in both eyes after intravitreal injection of triamcinolone for diabetic macular edema.,triamcinolone,visual field defects,"{'drug': {'start_char': [125], 'end_char': [138]}, 'effect': {'start_char': [36], 'end_char': [56]}}"
Severe steroid-induced glaucoma following intravitreal injection of triamcinolone acetonide.,steroid,glaucoma,"{'drug': {'start_char': [7], 'end_char': [14]}, 'effect': {'start_char': [23], 'end_char': [31]}}"
Severe steroid-induced glaucoma following intravitreal injection of triamcinolone acetonide.,triamcinolone acetonide,glaucoma,"{'drug': {'start_char': [68], 'end_char': [91]}, 'effect': {'start_char': [23], 'end_char': [31]}}"
This treatment has the potential to cause severe vision loss as a result of intractable corticosteroid-induced glaucoma.,corticosteroid,glaucoma,"{'drug': {'start_char': [88], 'end_char': [102]}, 'effect': {'start_char': [111], 'end_char': [119]}}"
This treatment has the potential to cause severe vision loss as a result of intractable corticosteroid-induced glaucoma.,corticosteroid,severe vision loss,"{'drug': {'start_char': [88], 'end_char': [102]}, 'effect': {'start_char': [42], 'end_char': [60]}}"
Autoimmune thyroid disease is a common side-effect of interferon-alpha (IFN-alpha) treatment of viral hepatitis C.,IFN-alpha,Autoimmune thyroid disease,"{'drug': {'start_char': [72], 'end_char': [81]}, 'effect': {'start_char': [0], 'end_char': [26]}}"
Autoimmune thyroid disease is a common side-effect of interferon-alpha (IFN-alpha) treatment of viral hepatitis C.,interferon-alpha,Autoimmune thyroid disease,"{'drug': {'start_char': [54], 'end_char': [70]}, 'effect': {'start_char': [0], 'end_char': [26]}}"
"Destructive thyrotoxicosis appeared 4-6 months after starting IFN-alpha, followed by Graves' hyperthyroidism within 8 to 11 months.",IFN-alpha,Graves' hyperthyroidism,"{'drug': {'start_char': [62], 'end_char': [71]}, 'effect': {'start_char': [85], 'end_char': [108]}}"
"Destructive thyrotoxicosis appeared 4-6 months after starting IFN-alpha, followed by Graves' hyperthyroidism within 8 to 11 months.",IFN-alpha,thyrotoxicosis,"{'drug': {'start_char': [62], 'end_char': [71]}, 'effect': {'start_char': [12], 'end_char': [26]}}"
"Hence, hyperthyroidism induced by IFN-alpha could correspond to the first phase of silent thyroiditis, to Graves' disease or to the succession of both.",IFN-alpha,hyperthyroidism,"{'drug': {'start_char': [34], 'end_char': [43]}, 'effect': {'start_char': [7], 'end_char': [22]}}"
Interferon-alpha-induced hyperthyroidism: a three-stage evolution from silent thyroiditis towards Graves' disease.,Interferon-alpha,hyperthyroidism,"{'drug': {'start_char': [0], 'end_char': [16]}, 'effect': {'start_char': [25], 'end_char': [40]}}"
We have described three patients with hepatitis C for whom IFN-alpha and ribavirin were prescribed and who developed two successive phases of silent thyroiditis followed by hyperthryroidism relapse due to Graves' disease.,IFN-alpha,hyperthryroidism,"{'drug': {'start_char': [59], 'end_char': [68]}, 'effect': {'start_char': [173], 'end_char': [189]}}"
We have described three patients with hepatitis C for whom IFN-alpha and ribavirin were prescribed and who developed two successive phases of silent thyroiditis followed by hyperthryroidism relapse due to Graves' disease.,ribavirin,hyperthryroidism,"{'drug': {'start_char': [73], 'end_char': [82]}, 'effect': {'start_char': [173], 'end_char': [189]}}"
We have described three patients with hepatitis C for whom IFN-alpha and ribavirin were prescribed and who developed two successive phases of silent thyroiditis followed by hyperthryroidism relapse due to Graves' disease.,IFN-alpha,thyroiditis,"{'drug': {'start_char': [59], 'end_char': [68]}, 'effect': {'start_char': [149], 'end_char': [160]}}"
We have described three patients with hepatitis C for whom IFN-alpha and ribavirin were prescribed and who developed two successive phases of silent thyroiditis followed by hyperthryroidism relapse due to Graves' disease.,ribavirin,thyroiditis,"{'drug': {'start_char': [73], 'end_char': [82]}, 'effect': {'start_char': [149], 'end_char': [160]}}"
"Dipyrone, also known as metamizole, is an analgesic and antipyretic drug that was banned by the United States Food and Drug Administration because of its association with agranulocytosis.",Dipyrone,agranulocytosis,"{'drug': {'start_char': [0], 'end_char': [8]}, 'effect': {'start_char': [171], 'end_char': [186]}}"
"Dipyrone, also known as metamizole, is an analgesic and antipyretic drug that was banned by the United States Food and Drug Administration because of its association with agranulocytosis.",metamizole,agranulocytosis,"{'drug': {'start_char': [24], 'end_char': [34]}, 'effect': {'start_char': [171], 'end_char': [186]}}"
Dipyrone-induced granulocytopenia: a case for awareness.,Dipyrone,granulocytopenia,"{'drug': {'start_char': [0], 'end_char': [8]}, 'effect': {'start_char': [17], 'end_char': [33]}}"
We describe a patient who developed granulocytopenia and fever after taking dipyrone and discuss the available literature.,dipyrone,granulocytopenia,"{'drug': {'start_char': [76], 'end_char': [84]}, 'effect': {'start_char': [36], 'end_char': [52]}}"
"Herein, we describe 2 patients who developed unusual CD8+ cutaneous lymphoproliferative disorders after treatment with efalizumab and infliximab.",efalizumab,CD8+ cutaneous lymphoproliferative disorders,"{'drug': {'start_char': [119], 'end_char': [129]}, 'effect': {'start_char': [], 'end_char': []}}"
"Herein, we describe 2 patients who developed unusual CD8+ cutaneous lymphoproliferative disorders after treatment with efalizumab and infliximab.",infliximab,CD8+ cutaneous lymphoproliferative disorders,"{'drug': {'start_char': [134], 'end_char': [144]}, 'effect': {'start_char': [], 'end_char': []}}"
"A 7-year-old with congenital toxoplasmosis who took pyrimethamine and sulfadiazine for reactivated chorioretinitis developed fever, severe cutaneous involvement, swelling, abdominal pain and transaminitis, persisting weeks after withholding medicines.",pyrimethamine,abdominal pain,"{'drug': {'start_char': [52], 'end_char': [65]}, 'effect': {'start_char': [172], 'end_char': [186]}}"
"A 7-year-old with congenital toxoplasmosis who took pyrimethamine and sulfadiazine for reactivated chorioretinitis developed fever, severe cutaneous involvement, swelling, abdominal pain and transaminitis, persisting weeks after withholding medicines.",sulfadiazine,abdominal pain,"{'drug': {'start_char': [70], 'end_char': [82]}, 'effect': {'start_char': [172], 'end_char': [186]}}"
"A 7-year-old with congenital toxoplasmosis who took pyrimethamine and sulfadiazine for reactivated chorioretinitis developed fever, severe cutaneous involvement, swelling, abdominal pain and transaminitis, persisting weeks after withholding medicines.",pyrimethamine,fever,"{'drug': {'start_char': [52], 'end_char': [65]}, 'effect': {'start_char': [125], 'end_char': [130]}}"
"A 7-year-old with congenital toxoplasmosis who took pyrimethamine and sulfadiazine for reactivated chorioretinitis developed fever, severe cutaneous involvement, swelling, abdominal pain and transaminitis, persisting weeks after withholding medicines.",sulfadiazine,fever,"{'drug': {'start_char': [70], 'end_char': [82]}, 'effect': {'start_char': [125], 'end_char': [130]}}"
"A 7-year-old with congenital toxoplasmosis who took pyrimethamine and sulfadiazine for reactivated chorioretinitis developed fever, severe cutaneous involvement, swelling, abdominal pain and transaminitis, persisting weeks after withholding medicines.",pyrimethamine,severe cutaneous involvement,"{'drug': {'start_char': [52], 'end_char': [65]}, 'effect': {'start_char': [132], 'end_char': [160]}}"
"A 7-year-old with congenital toxoplasmosis who took pyrimethamine and sulfadiazine for reactivated chorioretinitis developed fever, severe cutaneous involvement, swelling, abdominal pain and transaminitis, persisting weeks after withholding medicines.",sulfadiazine,severe cutaneous involvement,"{'drug': {'start_char': [70], 'end_char': [82]}, 'effect': {'start_char': [132], 'end_char': [160]}}"
"A 7-year-old with congenital toxoplasmosis who took pyrimethamine and sulfadiazine for reactivated chorioretinitis developed fever, severe cutaneous involvement, swelling, abdominal pain and transaminitis, persisting weeks after withholding medicines.",pyrimethamine,swelling,"{'drug': {'start_char': [52], 'end_char': [65]}, 'effect': {'start_char': [162], 'end_char': [170]}}"
"A 7-year-old with congenital toxoplasmosis who took pyrimethamine and sulfadiazine for reactivated chorioretinitis developed fever, severe cutaneous involvement, swelling, abdominal pain and transaminitis, persisting weeks after withholding medicines.",sulfadiazine,swelling,"{'drug': {'start_char': [70], 'end_char': [82]}, 'effect': {'start_char': [162], 'end_char': [170]}}"
"A 7-year-old with congenital toxoplasmosis who took pyrimethamine and sulfadiazine for reactivated chorioretinitis developed fever, severe cutaneous involvement, swelling, abdominal pain and transaminitis, persisting weeks after withholding medicines.",pyrimethamine,transaminitis,"{'drug': {'start_char': [52], 'end_char': [65]}, 'effect': {'start_char': [191], 'end_char': [204]}}"
"A 7-year-old with congenital toxoplasmosis who took pyrimethamine and sulfadiazine for reactivated chorioretinitis developed fever, severe cutaneous involvement, swelling, abdominal pain and transaminitis, persisting weeks after withholding medicines.",sulfadiazine,transaminitis,"{'drug': {'start_char': [70], 'end_char': [82]}, 'effect': {'start_char': [191], 'end_char': [204]}}"
Severe sulfadiazine hypersensitivity in a child with reactivated congenital toxoplasmic chorioretinitis.,sulfadiazine,hypersensitivity,"{'drug': {'start_char': [7], 'end_char': [19]}, 'effect': {'start_char': [20], 'end_char': [36]}}"
"This case underscores problems in clinical management with sulfadiazine hypersensitivity, potential immunosuppression from corticosteroids and selection of medications for recurrences of toxoplasmic chorioretinitis.",sulfadiazine,hypersensitivity,"{'drug': {'start_char': [59], 'end_char': [71]}, 'effect': {'start_char': [72], 'end_char': [88]}}"
"Fatal lung fibrosis caused by paclitaxel toxicity has not been reported In this report, we describe the case of a 62-year-old woman who received six cycles of paclitaxel and carboplatin as combination chemotherapy for advanced ovarian cancer.",carboplatin,Fatal lung fibrosis,"{'drug': {'start_char': [174], 'end_char': [185]}, 'effect': {'start_char': [0], 'end_char': [19]}}"
"Fatal lung fibrosis caused by paclitaxel toxicity has not been reported In this report, we describe the case of a 62-year-old woman who received six cycles of paclitaxel and carboplatin as combination chemotherapy for advanced ovarian cancer.",paclitaxel,Fatal lung fibrosis,"{'drug': {'start_char': [30, 159], 'end_char': [40, 169]}, 'effect': {'start_char': [0], 'end_char': [19]}}"
"Fatal lung fibrosis caused by paclitaxel toxicity has not been reported In this report, we describe the case of a 62-year-old woman who received six cycles of paclitaxel and carboplatin as combination chemotherapy for advanced ovarian cancer.",paclitaxel,Fatal lung fibrosis,"{'drug': {'start_char': [30, 159], 'end_char': [40, 169]}, 'effect': {'start_char': [0], 'end_char': [19]}}"
Fatal pulmonary fibrosis induced by paclitaxel: a case report and review of the literature.,paclitaxel,Fatal pulmonary fibrosis,"{'drug': {'start_char': [36], 'end_char': [46]}, 'effect': {'start_char': [0], 'end_char': [24]}}"
Physicians should keep in mind that taxanes such as paclitaxel have the potential to cause pneumonitis and lung fibrosis.,paclitaxel,lung fibrosis,"{'drug': {'start_char': [52], 'end_char': [62]}, 'effect': {'start_char': [107], 'end_char': [120]}}"
Physicians should keep in mind that taxanes such as paclitaxel have the potential to cause pneumonitis and lung fibrosis.,paclitaxel,pneumonitis,"{'drug': {'start_char': [52], 'end_char': [62]}, 'effect': {'start_char': [91], 'end_char': [102]}}"
Pulmonary fibrosis is a complication of paclitaxel therapy that may occur despite treatments with corticosteroids.,paclitaxel,Pulmonary fibrosis,"{'drug': {'start_char': [40], 'end_char': [50]}, 'effect': {'start_char': [0], 'end_char': [18]}}"
Infections are a major adverse effect during the treatment with anti-TNF-alpha.,anti-TNF-alpha,Infections,"{'drug': {'start_char': [64], 'end_char': [78]}, 'effect': {'start_char': [0], 'end_char': [10]}}"
"In this case report, we have described a patient with Crohn's disease who developed subfulminant hepatitis B after the fourth infusion of infliximab due to an unrecognized HBs-antigen carrier state.",infliximab,subfulminant hepatitis B,"{'drug': {'start_char': [138], 'end_char': [148]}, 'effect': {'start_char': [84], 'end_char': [108]}}"
Subfulminant hepatitis B after infliximab in Crohn's disease: need for HBV-screening?,infliximab,Subfulminant hepatitis B,"{'drug': {'start_char': [31], 'end_char': [41]}, 'effect': {'start_char': [0], 'end_char': [24]}}"
Acute unilateral total visual loss after retrogasserian phenol injection for the treatment of trigeminal neuralgia: a case report.,phenol,Acute unilateral total visual loss,"{'drug': {'start_char': [56], 'end_char': [62]}, 'effect': {'start_char': [0], 'end_char': [34]}}"
The visual loss in this patient seems to result from phenol neurotoxicity rather than mechanical compression of the intraorbital optic nerve.,phenol,neurotoxicity,"{'drug': {'start_char': [53], 'end_char': [59]}, 'effect': {'start_char': [60], 'end_char': [73]}}"
The visual loss in this patient seems to result from phenol neurotoxicity rather than mechanical compression of the intraorbital optic nerve.,phenol,visual loss,"{'drug': {'start_char': [53], 'end_char': [59]}, 'effect': {'start_char': [4], 'end_char': [15]}}"
We report a 78-year-old man who had acute unilateral total visual loss after retrogasserian phenol injection for the treatment of trigeminal neuralgia.,phenol,acute unilateral total visual loss,"{'drug': {'start_char': [92], 'end_char': [98]}, 'effect': {'start_char': [36], 'end_char': [70]}}"
Drug induced liver injury secondary to interferon-beta (IFN-beta) in multiple sclerosis.,IFN-beta,liver injury,"{'drug': {'start_char': [56], 'end_char': [64]}, 'effect': {'start_char': [13], 'end_char': [25]}}"
Drug induced liver injury secondary to interferon-beta (IFN-beta) in multiple sclerosis.,interferon-beta,liver injury,"{'drug': {'start_char': [39], 'end_char': [54]}, 'effect': {'start_char': [13], 'end_char': [25]}}"
Grade 3 hepatotoxicity (AST and ALT > 5 to 20 upper limit normal) or higher has been observed in as many as 1.4% of MS patients on IFN beta.,IFN beta,Grade 3 hepatotoxicity,"{'drug': {'start_char': [131], 'end_char': [139]}, 'effect': {'start_char': [0], 'end_char': [22]}}"
Post marketing studies of Interferon-beta (IFN beta) therapy in multiple sclerosis (MS) have demonstrated surprisingly high rates of hepatotoxicity.,IFN beta,hepatotoxicity,"{'drug': {'start_char': [43], 'end_char': [51]}, 'effect': {'start_char': [133], 'end_char': [147]}}"
Post marketing studies of Interferon-beta (IFN beta) therapy in multiple sclerosis (MS) have demonstrated surprisingly high rates of hepatotoxicity.,Interferon-beta,hepatotoxicity,"{'drug': {'start_char': [26], 'end_char': [41]}, 'effect': {'start_char': [133], 'end_char': [147]}}"
We report three cases of IFN beta induced hepatitis in MS and discuss the pathology findings and possible mechanisms of drug-induced liver injury.,IFN beta,hepatitis,"{'drug': {'start_char': [25], 'end_char': [33]}, 'effect': {'start_char': [42], 'end_char': [51]}}"
We report three cases of IFN beta induced hepatitis in MS and discuss the pathology findings and possible mechanisms of drug-induced liver injury.,IFN beta,liver injury,"{'drug': {'start_char': [25], 'end_char': [33]}, 'effect': {'start_char': [133], 'end_char': [145]}}"
A 55-year-old woman presented an episode of acute urticaria and labial angioedema 60 minutes after ingesting 500 mg of cloxacillin for a skin abscess.,cloxacillin,acute urticaria,"{'drug': {'start_char': [119], 'end_char': [130]}, 'effect': {'start_char': [44], 'end_char': [59]}}"
A 55-year-old woman presented an episode of acute urticaria and labial angioedema 60 minutes after ingesting 500 mg of cloxacillin for a skin abscess.,cloxacillin,labial angioedema,"{'drug': {'start_char': [119], 'end_char': [130]}, 'effect': {'start_char': [64], 'end_char': [81]}}"
Allergy to cloxacillin with normal tolerance to amoxicillin and cefuroxime.,cloxacillin,Allergy,"{'drug': {'start_char': [11], 'end_char': [22]}, 'effect': {'start_char': [0], 'end_char': [7]}}"
"Several hypersensitivity reactions to cloxacillin have been reported, although IgE-mediated allergic reactions to the drug are rare and there is little information about possible tolerance to other semisynthetic penicillins or cephalosporins in patients with cloxacillin allergy.",cloxacillin,hypersensitivity,"{'drug': {'start_char': [38, 259], 'end_char': [49, 270]}, 'effect': {'start_char': [8], 'end_char': [24]}}"
"Several hypersensitivity reactions to cloxacillin have been reported, although IgE-mediated allergic reactions to the drug are rare and there is little information about possible tolerance to other semisynthetic penicillins or cephalosporins in patients with cloxacillin allergy.",cloxacillin,IgE-mediated allergic reactions,"{'drug': {'start_char': [38, 259], 'end_char': [49, 270]}, 'effect': {'start_char': [79], 'end_char': [110]}}"
Cardiac toxicity related to BCNU has not been described well.,BCNU,Cardiac toxicity,"{'drug': {'start_char': [28], 'end_char': [32]}, 'effect': {'start_char': [0], 'end_char': [16]}}"
Myocardial ischemia associated with high-dose carmustine infusion.,carmustine,Myocardial ischemia,"{'drug': {'start_char': [46], 'end_char': [56]}, 'effect': {'start_char': [0], 'end_char': [19]}}"
Three patients are reported without a history of angina pectoris who had clinical and electrocardiographic evidence of myocardial ischemia during and immediately after BCNU infusion.,BCNU,myocardial ischemia,"{'drug': {'start_char': [168], 'end_char': [172]}, 'effect': {'start_char': [119], 'end_char': [138]}}"
Adverse reaction in a patient with aspirin-induced asthma treated with zafirlukast.,aspirin,asthma,"{'drug': {'start_char': [35], 'end_char': [42]}, 'effect': {'start_char': [51], 'end_char': [57]}}"
We present a case of hypereosinophilia related to zafirlukast therapy.,zafirlukast,hypereosinophilia,"{'drug': {'start_char': [50], 'end_char': [61]}, 'effect': {'start_char': [21], 'end_char': [38]}}"
"Shortly after chemotherapy and an injection of pegfilgrastim, the patient developed poorly defined, rapidly progressive erythema, edema, and pain in his right forearm.",pegfilgrastim,edema,"{'drug': {'start_char': [47], 'end_char': [60]}, 'effect': {'start_char': [130], 'end_char': [135]}}"
"Shortly after chemotherapy and an injection of pegfilgrastim, the patient developed poorly defined, rapidly progressive erythema, edema, and pain in his right forearm.",pegfilgrastim,pain in his right forearm,"{'drug': {'start_char': [47], 'end_char': [60]}, 'effect': {'start_char': [141], 'end_char': [166]}}"
"Shortly after chemotherapy and an injection of pegfilgrastim, the patient developed poorly defined, rapidly progressive erythema, edema, and pain in his right forearm.",pegfilgrastim,rapidly progressive erythema,"{'drug': {'start_char': [47], 'end_char': [60]}, 'effect': {'start_char': [100], 'end_char': [128]}}"
"A few recent individual case reports have suggested that a myasthenic syndrome may be associated with statin treatment, but this association is not well described.",statin,myasthenic syndrome,"{'drug': {'start_char': [102], 'end_char': [108]}, 'effect': {'start_char': [59], 'end_char': [78]}}"
Statin-associated myasthenia gravis: report of 4 cases and review of the literature.,Statin,myasthenia gravis,"{'drug': {'start_char': [0], 'end_char': [6]}, 'effect': {'start_char': [18], 'end_char': [35]}}"
We report 4 patients who developed symptoms of myasthenia gravis within 2 weeks of starting treatment with a statin drug.,statin,myasthenia gravis,"{'drug': {'start_char': [109], 'end_char': [115]}, 'effect': {'start_char': [47], 'end_char': [64]}}"
